365nm,405nm,473nm,530nm,575nm,621nm,660nm,735nm,770nm,830nm,850nm,890nm,940nm,label
14.15,29.69,79.78,57.38,0.44,27.36,8.12,119.48,21.42,71.16,99.46,10.42,25.6,0
13.62,28.62,78.34,56.0,0.64,26.48,7.56,115.61,20.14,69.96,96.58,9.56,24.4,0
14.2,29.89,81.21,60.15,0.73,28.42,7.8,125.19,22.39,75.71,101.31,9.5,26.4,0
14.74,30.4,81.43,60.66,0.52,28.19,7.85,124.31,21.89,75.58,100.84,10.18,26.34,0
14.57,28.92,80.05,59.25,0.5,27.9,7.71,120.19,21.78,74.37,100.06,10.25,26.11,0
13.35,28.2,78.05,57.06,0.47,27.39,7.86,119.4,21.83,72.9,98.47,10.61,25.46,0
13.62,28.12,77.99,56.61,0.54,27.39,8.38,119.17,21.24,72.21,99.04,10.77,25.81,0
12.93,28.23,76.88,55.27,0.45,26.86,7.37,119.77,21.02,71.09,98.57,9.79,25.76,0
13.61,28.8,79.03,57.41,0.64,27.65,8.37,120.92,21.51,71.92,98.96,9.97,25.17,0
14.86,30.46,82.99,60.94,0.57,29.78,9.2,125.28,22.91,74.58,103.02,11.07,26.33,0
14.44,30.89,84.19,62.31,0.43,29.62,8.79,125.27,21.54,74.27,101.72,10.57,25.95,0
14.0,29.83,80.11,57.84,0.58,27.35,8.25,120.04,20.88,71.01,99.45,10.55,24.76,0
13.17,28.52,77.69,56.49,0.64,26.81,7.15,121.33,21.18,75.39,98.2,10.05,25.01,0
13.2,27.88,77.4,56.07,0.53,26.58,7.38,119.63,20.85,73.15,96.86,10.19,25.0,0
13.98,29.82,80.41,58.92,0.59,28.21,8.65,120.21,22.11,73.61,99.23,11.07,25.62,0
13.21,28.37,78.28,56.87,0.59,27.02,8.0,119.09,22.42,72.25,99.86,10.89,25.63,0
13.95,29.9,80.69,58.76,0.69,28.69,8.47,121.99,21.65,74.12,100.2,11.3,26.25,0
14.12,29.74,81.1,59.6,0.69,28.57,8.63,124.4,21.32,73.54,100.19,9.84,26.12,0
13.22,28.16,78.12,56.49,0.46,26.98,8.98,120.12,21.14,71.65,99.12,11.03,25.74,0
14.61,30.71,81.45,60.62,0.62,28.89,9.03,125.69,22.27,73.79,102.53,11.49,26.28,0
13.79,29.63,80.3,59.41,0.45,28.01,7.58,122.79,20.86,73.17,100.86,11.12,25.19,0
14.08,29.1,79.65,57.61,0.69,27.25,7.83,117.86,20.68,69.39,97.28,11.01,24.35,0
12.31,27.07,74.62,53.7,0.43,24.61,7.03,115.13,20.39,72.15,93.88,8.55,23.85,0
14.16,28.19,77.27,55.59,0.78,26.85,7.15,119.07,21.45,73.46,96.82,9.88,25.24,0
15.15,29.73,80.18,57.96,0.62,28.38,8.24,120.86,22.42,74.79,100.47,10.38,25.78,0
13.84,29.15,79.31,57.36,0.54,28.17,7.92,119.12,22.17,73.42,99.58,10.74,25.48,0
13.97,28.66,79.35,56.89,0.6,27.68,8.22,120.73,21.63,73.95,99.43,10.69,26.67,0
14.57,30.61,83.32,61.58,0.52,29.23,9.03,125.37,22.01,74.71,100.58,10.23,26.42,0
13.98,29.22,80.46,58.34,0.74,28.32,8.73,121.51,21.62,73.1,100.22,11.17,25.58,0
13.87,28.8,78.83,58.33,0.47,28.36,8.46,120.5,22.18,72.41,98.46,10.62,25.62,0
13.15,28.0,77.33,56.08,0.62,27.03,7.52,116.24,20.39,70.04,96.42,10.34,24.56,0
