365nm,405nm,473nm,530nm,575nm,621nm,660nm,735nm,770nm,830nm,850nm,890nm,940nm,label
14.26,28.04,78.6,57.06,0.62,27.15,8.39,117.6,20.79,73.95,97.86,10.5,26.19,0
14.02,28.31,77.88,56.75,0.53,27.42,7.74,117.45,21.45,72.45,96.86,10.29,25.8,0
12.84,27.57,75.27,54.78,0.47,26.53,8.31,115.87,21.2,71.75,97.71,9.98,26.17,0
12.93,26.38,73.45,54.07,0.64,25.81,6.67,111.32,19.84,68.65,93.82,9.6,24.75,0
12.65,25.3,70.08,51.17,0.48,23.98,7.38,106.53,18.47,66.77,91.18,10.04,23.75,0
13.53,27.91,76.34,55.66,0.43,25.01,7.34,113.03,19.49,70.86,96.81,9.67,24.06,0
14.46,29.21,79.16,59.36,0.73,26.57,8.11,116.71,21.07,72.48,97.65,10.83,24.62,0
14.55,29.06,78.41,58.37,0.72,26.29,8.31,116.52,20.67,71.94,97.25,11.13,25.12,0
14.72,28.3,79.19,57.67,0.45,26.31,7.71,116.65,20.54,71.64,97.72,10.79,24.76,0
15.16,29.91,81.14,59.83,0.59,27.32,8.82,121.0,20.72,72.91,99.87,11.44,25.21,0
15.17,30.62,83.39,61.98,0.46,27.54,8.78,123.96,20.69,73.96,99.95,10.71,25.5,0
14.11,29.79,79.32,58.53,0.43,26.62,8.43,120.11,19.91,71.1,98.83,10.67,25.52,0
15.0,30.4,82.47,60.79,0.68,28.06,9.38,121.44,20.58,72.12,100.06,11.14,25.23,0
15.17,30.69,84.14,61.67,0.4,29.04,9.07,122.05,21.65,73.79,100.78,10.78,25.6,0
17.19,34.36,91.58,67.74,0.8,32.48,10.47,128.28,22.31,74.11,103.9,12.34,27.32,0
14.64,29.02,79.1,59.98,0.47,27.61,7.89,118.52,21.2,72.52,98.43,10.22,24.49,0
14.62,28.57,78.84,59.94,0.49,27.29,7.93,117.55,21.16,73.28,97.4,10.56,24.96,0
14.83,29.86,80.89,60.78,0.58,27.87,8.57,119.9,22.12,72.62,98.9,11.42,25.59,0
14.19,28.38,77.63,58.0,0.54,26.53,8.08,117.11,20.74,72.52,96.86,11.22,24.85,0
14.53,29.03,78.79,57.98,0.37,26.52,8.66,119.79,20.9,72.44,98.62,10.66,25.21,0
15.34,31.83,85.78,63.41,0.48,29.45,9.02,126.55,21.68,74.01,101.36,11.55,26.01,0
14.71,29.3,81.0,59.2,0.44,26.97,8.25,121.61,21.2,72.9,99.35,11.39,25.74,0
14.15,28.26,79.66,57.45,0.66,27.04,7.43,117.43,20.75,71.04,98.22,11.15,25.69,0
15.63,30.67,86.77,62.59,0.82,29.84,8.91,122.71,21.4,74.19,101.45,11.36,26.13,0
14.65,30.7,84.35,60.31,0.3,28.21,8.96,120.81,20.95,73.13,100.98,10.67,26.21,0
13.18,27.73,77.94,57.42,0.52,25.72,7.03,118.63,20.33,72.26,95.61,9.08,23.26,0
12.34,25.33,72.22,53.73,0.34,23.93,6.89,114.1,20.03,70.58,93.99,9.88,24.21,0
14.75,27.74,78.85,58.79,0.31,26.52,8.13,119.1,21.24,72.16,95.83,10.49,25.64,0
14.43,29.5,80.05,60.21,0.44,27.84,7.64,121.49,21.37,72.91,98.31,10.85,24.69,0
15.11,29.45,81.63,61.12,0.41,28.41,8.0,122.96,21.13,73.23,99.26,11.61,25.63,0
14.09,29.76,79.34,58.86,0.64,26.98,8.15,122.59,21.12,73.97,99.5,11.19,25.77,0
15.64,30.35,82.11,60.79,0.69,28.57,9.49,125.3,20.83,73.45,100.04,11.53,25.24,0
14.75,29.22,80.88,57.6,0.47,27.07,7.84,121.06,20.4,71.74,99.02,11.03,25.51,0
14.8,29.85,83.7,60.41,0.65,28.34,8.8,121.26,20.89,72.81,100.47,11.45,25.82,0
15.27,31.75,86.42,63.89,0.53,30.29,9.53,124.18,21.47,73.97,101.93,12.05,26.06,0
13.33,27.95,77.76,58.24,0.5,26.45,7.96,118.91,21.26,73.08,96.54,10.13,25.11,0
13.66,28.55,79.53,59.57,0.45,26.47,8.46,121.63,21.02,73.82,97.72,10.77,24.62,0
13.37,27.61,76.84,57.3,0.31,26.56,8.11,118.53,19.67,72.22,97.65,10.25,25.38,0
14.25,30.06,82.36,60.53,0.57,28.43,9.03,123.61,21.42,74.47,100.19,11.16,25.36,0
14.57,28.36,80.22,58.7,0.57,27.42,8.7,122.76,20.99,73.58,99.4,11.45,26.66,0
13.62,28.95,80.07,58.95,0.37,27.86,8.04,124.76,20.87,74.21,99.87,11.32,26.18,0
14.33,29.33,81.07,58.74,0.74,27.81,8.32,124.41,21.02,73.7,100.29,11.06,26.87,0
15.32,30.22,83.79,61.87,0.68,29.93,9.02,124.69,21.28,73.76,101.7,11.53,26.07,0
14.15,28.71,81.08,58.87,0.59,27.13,9.17,120.72,20.76,72.39,99.74,11.36,26.05,0
14.29,28.98,81.4,58.25,0.55,27.17,9.3,118.47,20.82,71.95,99.95,11.37,25.16,0
13.96,27.43,77.2,57.04,0.51,25.52,7.41,119.06,20.84,73.31,95.78,9.65,24.42,0
13.53,26.79,76.21,56.23,0.42,25.05,8.1,118.07,20.36,73.42,98.22,10.34,25.42,0
13.5,27.65,79.04,57.74,0.48,26.33,8.45,120.69,21.02,73.1,98.45,11.27,25.16,0
14.62,29.21,80.32,60.48,0.46,26.95,8.11,122.06,21.31,74.19,99.36,10.94,24.73,0
14.58,28.96,79.87,58.09,0.38,26.82,9.1,121.8,20.76,73.55,99.05,10.68,25.42,0
14.61,29.49,81.72,60.05,0.62,27.59,8.91,122.98,21.32,73.95,100.89,11.79,25.88,0
14.08,28.88,78.15,56.77,0.49,25.85,8.63,119.03,20.97,72.0,98.92,11.57,26.01,0
15.44,31.58,85.35,62.39,0.94,29.34,10.23,123.67,21.61,75.19,101.81,12.05,26.29,0
15.03,30.7,83.06,60.94,0.62,28.34,9.06,122.03,20.9,72.88,100.91,10.82,25.5,0
13.8,27.75,78.91,57.32,0.39,26.39,8.42,114.69,20.16,70.05,97.36,10.1,24.58,0
14.04,26.94,78.07,57.35,0.56,25.69,6.2,117.95,20.3,74.25,98.66,9.55,25.09,0
13.59,27.0,77.21,56.77,0.31,26.1,7.64,116.48,21.23,72.79,97.09,10.64,24.56,0
14.74,29.05,80.75,60.11,0.52,28.19,8.5,121.34,21.73,74.21,101.25,11.21,26.3,0
15.73,30.18,82.77,62.45,0.51,28.59,9.03,123.24,22.17,75.38,100.55,11.26,26.33,0
14.56,28.73,79.89,59.23,0.59,27.33,8.23,120.23,20.68,72.92,98.56,11.1,25.93,0
13.22,27.44,77.22,57.32,0.5,27.06,8.06,117.92,20.51,72.96,98.21,10.93,25.24,0
14.47,28.65,79.56,57.87,0.6,26.68,8.13,119.33,21.4,72.49,99.0,11.19,25.86,0
13.91,27.61,79.07,56.75,0.43,27.54,8.24,117.88,21.23,72.08,98.93,11.8,25.66,0
13.93,29.5,80.18,58.75,0.66,27.25,7.96,118.91,20.35,72.47,99.0,11.23,25.91,0
14.22,27.72,78.42,56.08,0.41,26.18,7.48,114.74,20.03,69.83,97.06,10.45,24.76,0
13.86,29.35,80.95,60.28,0.67,27.67,8.15,124.29,22.69,76.99,101.31,10.49,26.4,0
15.3,29.28,81.34,61.07,0.85,27.88,8.59,122.67,22.1,75.47,100.94,11.46,26.21,0
14.02,28.6,79.54,59.06,0.44,27.71,7.63,120.41,21.25,75.33,100.51,10.51,27.21,0
13.85,27.66,78.2,57.35,0.69,26.25,8.08,118.66,20.48,73.66,98.28,11.04,25.81,0
14.05,27.84,77.1,57.42,0.8,26.28,8.61,119.92,21.85,72.82,99.23,11.5,26.37,0
13.42,27.8,76.02,56.4,0.54,25.39,7.61,119.64,21.18,72.84,98.82,10.64,25.52,0
13.87,27.97,78.84,57.69,0.47,26.85,8.41,120.11,21.14,72.86,100.35,11.1,25.59,0
15.25,30.19,83.94,60.64,0.48,28.04,9.33,125.08,22.44,73.88,102.82,12.27,26.32,0
14.73,30.8,85.16,61.49,0.5,28.91,8.92,125.41,21.62,74.73,102.19,11.45,26.06,0
15.12,30.07,80.03,58.84,0.7,27.51,8.69,117.82,20.74,72.3,99.25,10.98,25.08,0
14.11,28.2,77.54,57.26,0.53,26.62,7.21,120.6,21.72,75.13,98.12,9.79,25.16,0
13.9,27.84,76.85,56.63,0.71,26.59,7.51,118.9,21.34,74.36,98.04,10.59,25.61,0
14.97,28.75,79.94,59.04,0.61,27.97,9.31,119.73,21.34,74.58,99.44,11.3,26.47,0
14.4,28.18,77.27,56.82,0.57,26.74,8.23,118.72,21.42,74.68,100.2,11.29,25.69,0
14.2,29.25,81.01,60.09,0.55,28.02,7.52,122.5,22.13,73.78,100.88,11.21,26.08,0
15.1,28.88,80.95,60.3,0.46,28.71,8.22,123.97,21.99,74.64,100.88,10.69,25.58,0
13.71,27.67,78.36,58.13,0.48,26.58,8.54,120.65,21.2,72.99,100.97,11.31,25.68,0
14.6,30.23,82.11,60.48,0.7,28.76,9.01,124.94,21.99,74.59,103.76,11.26,25.97,0
14.59,29.11,80.22,59.61,0.45,27.71,8.22,122.29,21.54,73.29,101.56,11.52,25.51,0
14.74,28.71,78.35,57.91,0.77,26.68,8.49,117.79,20.68,70.69,98.62,10.6,25.26,0
13.05,26.61,74.33,54.44,0.42,24.48,6.79,115.19,20.18,72.7,95.2,9.95,24.11,0
14.28,27.24,76.45,56.18,0.76,25.8,7.8,118.45,21.11,74.07,97.86,10.3,25.06,0
14.34,28.42,79.95,58.79,0.55,28.21,8.75,121.32,21.42,75.11,100.38,11.07,26.12,0
13.91,28.21,79.22,58.81,0.51,26.7,8.07,118.63,20.98,74.21,98.97,10.87,25.38,0
14.11,27.75,78.88,57.61,0.6,26.36,8.2,120.07,21.61,74.35,99.82,11.01,26.22,0
15.66,30.49,82.33,62.34,0.66,29.54,9.34,123.8,21.62,75.71,101.82,10.93,25.99,0
15.13,28.73,79.64,59.92,0.59,27.32,8.77,120.65,21.81,74.34,99.39,11.46,25.02,0
14.98,29.13,79.0,57.43,0.73,28.37,9.13,120.82,22.41,72.64,100.44,11.16,25.17,0
13.54,27.41,77.23,56.62,0.77,26.36,7.68,117.45,19.99,70.31,96.36,10.75,24.69,0
12.89,25.25,72.16,53.1,0.38,23.59,7.63,109.98,18.78,67.3,93.5,9.93,23.81,0
13.3,27.32,74.87,54.61,0.29,24.46,7.8,115.25,20.85,73.01,96.0,8.87,24.0,0
14.97,29.56,79.21,58.15,0.71,26.38,9.04,119.37,21.27,76.05,99.33,10.87,25.78,0
14.83,29.1,79.73,58.3,0.58,27.28,8.5,119.9,21.88,76.59,100.14,10.41,26.19,0
14.07,28.76,80.41,59.84,0.37,27.11,8.59,120.84,22.93,75.92,100.6,11.08,25.84,0
13.86,27.21,76.21,56.25,0.71,26.21,8.02,116.53,20.94,72.76,97.65,10.31,25.05,0
13.84,27.74,77.96,57.56,0.39,26.99,8.74,117.81,21.85,73.5,97.84,10.19,25.35,0
14.24,27.9,78.41,57.0,0.44,26.71,8.78,116.12,21.62,73.26,97.09,10.9,25.8,0
13.49,27.1,75.07,55.05,0.47,25.66,7.33,115.01,20.78,71.95,97.66,10.68,25.57,0
12.84,26.48,74.29,54.15,0.55,24.92,7.03,111.23,19.33,68.49,94.1,10.68,23.79,0
12.12,25.34,70.81,52.1,0.31,22.29,6.63,106.61,18.02,66.18,90.69,10.38,23.24,0
11.97,26.42,72.92,56.1,0.52,26.0,6.02,116.77,20.57,71.44,96.64,11.34,24.78,2
13.56,27.98,76.07,58.96,0.63,27.43,7.43,120.09,21.98,72.18,98.48,12.24,26.76,2
13.41,26.98,75.53,57.84,0.57,27.48,7.11,120.24,21.27,72.36,97.74,12.41,26.06,2
13.28,26.15,76.29,57.06,0.57,26.53,7.03,119.55,21.19,71.22,98.31,11.87,26.05,2
14.2,28.51,78.89,59.36,0.6,27.71,7.38,122.24,21.83,72.76,100.34,12.65,26.6,2
14.45,29.19,80.79,60.85,0.73,28.29,7.24,125.53,22.16,73.39,101.26,12.72,27.39,2
13.66,27.42,76.54,57.7,0.64,27.15,7.34,121.63,21.14,71.97,99.12,11.94,26.43,2
13.19,28.49,78.94,60.63,0.8,28.03,8.01,123.44,22.13,72.0,100.41,12.17,27.5,2
13.43,28.77,81.41,61.34,0.71,28.95,7.85,124.53,21.7,73.72,102.69,12.47,27.14,2
15.98,32.1,87.03,67.63,0.82,32.26,9.38,130.37,22.9,75.77,104.88,13.42,28.43,2
12.62,28.37,76.96,59.58,0.58,28.19,6.52,122.26,21.56,73.44,99.63,10.98,25.91,2
14.12,27.94,76.13,59.15,0.76,26.76,7.51,120.96,21.6,73.48,98.8,11.74,25.6,2
13.92,28.87,76.7,60.7,0.63,27.6,7.33,123.56,21.31,74.21,99.92,12.5,27.11,2
13.14,26.96,75.34,58.19,0.56,26.36,6.91,120.03,21.08,72.61,99.46,12.1,26.74,2
13.12,26.82,76.56,57.56,0.44,26.91,7.56,123.11,21.46,72.04,100.11,12.54,26.78,2
14.63,29.78,82.75,63.52,0.72,29.92,8.06,129.24,21.92,74.67,103.03,12.85,27.15,2
14.21,27.6,77.88,58.74,0.41,27.38,7.54,124.48,21.37,72.98,100.23,12.78,27.31,2
13.41,26.59,75.25,56.54,0.53,27.41,6.82,119.83,21.14,70.48,99.49,11.9,26.33,2
14.2,28.58,82.25,62.6,0.5,30.09,8.69,125.15,22.31,74.34,102.39,12.05,27.18,2
13.8,28.95,81.02,60.3,0.52,28.6,8.46,122.87,21.27,73.17,102.62,12.16,27.25,2
11.9,26.0,75.82,57.8,0.47,27.09,7.11,120.32,20.19,73.04,99.64,10.73,24.99,2
12.04,24.84,70.64,53.33,0.49,23.74,6.11,116.06,20.41,69.76,96.97,10.7,25.21,2
12.94,26.77,75.23,58.59,0.37,27.29,7.08,121.21,21.45,72.39,99.31,11.24,25.66,2
13.19,27.71,77.18,59.1,0.36,28.0,7.32,124.19,20.88,73.27,100.85,11.52,26.08,2
13.52,28.43,79.19,61.17,0.46,28.62,7.94,125.15,21.55,73.4,101.87,12.67,26.26,2
12.56,26.88,76.8,58.88,0.63,27.62,7.47,125.52,21.28,73.1,101.09,12.84,26.77,2
14.17,28.9,79.04,60.27,0.37,28.92,8.51,127.5,21.26,73.97,101.41,12.63,26.55,2
13.38,26.98,76.92,58.49,0.41,27.94,7.73,124.11,21.07,71.76,100.31,11.44,26.47,2
13.97,28.89,80.26,60.34,0.6,28.79,7.87,123.92,21.5,72.73,102.34,12.57,26.54,2
14.45,29.51,83.04,62.86,0.64,30.54,8.67,126.29,22.28,73.68,104.43,12.33,27.06,2
12.03,25.96,74.93,57.19,0.63,26.43,6.71,121.55,21.25,73.18,100.18,11.02,25.4,2
12.89,27.19,77.13,59.01,0.38,26.68,8.11,125.48,21.93,73.77,100.93,10.61,25.85,2
13.26,25.72,74.93,56.96,0.59,26.61,7.2,121.74,21.07,73.38,100.25,11.89,26.71,2
14.01,27.6,80.11,60.85,0.42,28.97,7.83,126.41,22.12,74.77,102.33,12.19,26.63,2
13.75,27.35,76.86,58.35,0.45,27.74,6.96,124.58,22.05,73.67,101.34,12.45,26.62,2
12.44,27.3,76.4,58.94,0.68,27.65,7.17,127.96,21.55,73.91,101.61,11.97,26.48,2
13.84,28.09,77.04,58.58,0.76,28.01,8.04,126.82,21.95,73.95,100.83,12.33,26.12,2
14.4,28.69,80.32,61.19,0.57,29.41,8.27,127.79,22.07,74.43,102.21,11.77,27.38,2
14.02,27.45,77.88,58.93,0.45,28.22,7.26,123.06,21.47,72.61,101.42,11.42,26.65,2
13.32,27.35,77.54,57.8,0.41,27.06,7.49,121.05,21.08,71.36,100.01,10.87,26.57,2
12.15,25.4,74.23,56.44,0.28,26.27,6.35,120.44,20.79,73.13,98.34,11.05,24.56,2
12.22,24.85,73.28,54.78,0.49,25.73,6.71,120.63,21.76,72.77,99.96,11.17,25.26,2
12.53,25.69,75.07,57.07,0.21,26.4,6.94,122.94,21.85,72.86,100.09,11.39,26.32,2
12.93,27.07,77.31,58.88,0.59,27.32,6.97,125.08,21.89,74.48,100.38,12.19,26.34,2
13.04,27.1,76.04,58.2,0.54,27.28,7.83,124.49,20.96,73.15,99.55,12.08,26.56,2
13.47,27.24,78.45,59.02,0.79,28.02,7.45,124.28,21.47,72.74,101.85,12.14,26.32,2
13.21,26.7,73.83,55.58,0.41,25.78,7.4,120.79,20.68,72.42,100.46,12.83,26.63,2
14.03,28.86,80.87,61.72,0.68,29.93,7.84,126.43,22.12,75.79,102.45,12.89,27.54,2
13.78,28.33,80.48,60.44,0.58,28.49,7.61,122.85,21.5,73.81,100.27,11.87,26.59,2
12.2,26.29,75.71,56.16,0.59,25.34,7.19,115.36,19.52,69.73,96.78,11.23,24.65,2
12.2,26.34,73.32,56.59,0.34,25.16,6.37,120.37,21.49,74.19,98.89,11.23,24.84,2
12.02,26.19,73.46,56.28,0.51,24.82,6.65,118.28,20.81,72.6,98.48,10.92,25.18,2
12.92,27.06,78.0,59.58,0.29,27.43,7.07,124.11,21.65,75.15,99.96,11.56,26.51,2
14.03,27.63,79.84,61.56,0.79,28.57,8.0,125.07,21.92,74.83,100.36,12.2,26.69,2
12.91,26.03,75.84,58.11,0.61,26.7,7.41,121.93,21.68,72.88,98.66,11.72,26.12,2
12.44,25.33,72.65,56.23,0.39,25.89,6.59,121.03,20.53,71.99,99.28,11.92,26.09,2
12.96,27.12,75.73,57.65,0.57,26.41,7.43,120.62,20.86,71.99,98.68,12.08,26.09,2
12.28,25.92,73.66,55.8,0.5,25.94,6.59,120.08,21.01,72.27,98.22,11.88,26.45,2
12.93,26.89,75.94,56.64,0.35,26.77,6.93,119.19,21.71,72.18,98.39,11.28,26.33,2
12.06,26.08,74.61,56.08,0.39,25.44,7.1,117.03,19.3,70.67,96.36,10.91,24.94,2
13.04,26.77,77.86,60.41,0.55,27.68,7.1,125.24,22.43,76.69,101.18,11.48,25.72,2
13.37,27.4,77.45,58.79,0.6,27.77,7.43,123.79,21.65,75.41,100.81,11.68,26.6,2
13.22,25.98,75.99,58.04,0.66,27.2,7.57,121.53,21.78,75.39,100.34,11.73,26.47,2
12.64,26.03,73.59,56.68,0.69,26.16,7.59,119.67,21.09,73.32,97.94,11.75,26.44,2
12.53,25.85,73.75,55.62,0.59,25.89,7.15,119.89,21.02,72.87,98.72,11.91,26.21,2
12.06,25.19,72.23,55.62,0.75,25.95,6.41,119.99,20.59,73.89,99.24,11.11,25.68,2
12.21,26.15,76.14,57.54,0.43,26.58,7.79,122.92,20.92,72.94,99.46,11.82,25.76,2
13.66,27.53,78.76,60.56,0.55,28.42,8.87,125.58,21.58,74.7,102.47,12.11,26.69,2
14.05,28.44,80.0,61.29,0.68,28.96,7.97,125.6,21.82,74.04,103.4,11.61,26.71,2
13.48,26.7,76.23,57.69,0.63,27.1,8.44,121.26,20.4,72.8,100.36,11.43,26.26,2
12.86,25.04,73.54,56.32,0.61,25.76,6.51,122.06,21.39,74.19,98.79,10.88,24.71,2
12.1,25.42,73.11,55.02,0.55,26.24,7.92,119.87,21.67,73.32,98.0,11.24,25.51,2
13.72,26.68,77.27,58.31,0.62,27.84,7.76,121.33,22.05,74.41,100.55,11.71,25.81,2
12.53,24.6,73.79,56.44,0.65,26.3,8.41,120.43,21.78,74.45,99.63,11.78,26.1,2
13.38,27.15,76.51,58.4,0.55,27.06,7.97,123.65,22.19,74.32,99.61,11.84,26.73,2
12.87,26.83,77.51,59.74,0.68,27.77,8.2,124.57,22.46,74.36,100.74,12.24,26.79,2
12.36,26.37,73.72,56.15,0.51,27.01,8.2,121.52,21.25,72.06,99.46,12.42,26.26,2
13.12,27.14,77.38,59.98,0.41,27.89,7.96,126.07,21.81,75.29,102.19,13.03,26.3,2
12.58,26.6,76.37,58.06,0.52,28.05,7.81,122.54,21.11,72.65,100.54,11.73,26.16,2
12.82,26.4,74.4,56.28,0.39,25.99,7.44,118.44,20.43,70.76,98.09,11.21,24.68,2
11.97,24.18,71.03,53.39,0.31,24.37,6.4,116.14,20.5,72.77,94.94,10.59,24.5,2
12.49,25.5,72.66,55.7,0.56,25.75,7.7,119.13,21.17,74.34,97.62,11.58,26.39,2
13.46,26.94,75.58,58.32,0.42,28.43,7.3,122.13,22.64,75.37,100.45,11.86,26.17,2
13.64,26.42,74.47,57.19,0.49,27.57,7.96,119.17,21.94,74.07,99.62,11.53,26.15,2
13.41,26.29,74.02,56.77,0.66,27.44,7.67,121.11,21.78,74.28,99.59,11.96,26.55,2
13.78,27.99,78.83,61.35,0.65,29.28,7.79,125.66,22.45,75.83,102.42,11.31,26.73,2
13.0,26.23,75.7,57.3,0.56,28.09,8.21,122.71,21.97,73.39,99.43,12.26,26.46,2
12.89,26.86,74.85,57.26,0.54,27.69,7.31,120.81,21.85,73.21,98.76,11.51,25.43,2
12.32,25.24,72.58,55.43,0.46,26.44,6.64,116.27,19.73,70.75,96.41,11.48,24.89,2
11.73,24.2,68.98,52.21,0.56,23.96,6.47,110.37,19.32,67.63,93.05,11.3,24.19,2
11.88,24.52,70.88,54.74,0.35,25.17,6.24,117.17,20.91,73.93,95.29,10.04,25.46,2
13.39,26.57,75.99,58.3,0.84,27.49,7.35,119.72,21.38,75.75,98.77,10.82,26.68,2
13.43,26.64,75.37,57.8,0.45,27.2,7.85,121.05,21.85,75.92,99.72,11.74,26.14,2
13.14,27.09,76.76,59.35,0.43,27.45,7.57,121.16,21.53,75.31,101.3,11.57,26.7,2
12.45,25.47,72.6,55.58,0.15,25.66,7.03,115.61,20.89,72.47,96.97,10.83,25.88,2
12.64,25.73,73.13,56.84,0.75,26.92,7.13,117.86,20.91,73.39,98.69,11.43,25.76,2
11.97,26.63,73.9,55.61,0.68,26.64,7.26,118.32,21.33,72.37,97.83,11.89,26.05,2
11.4,24.68,70.94,55.17,0.4,26.02,7.05,117.46,20.68,71.84,96.9,11.09,25.92,2
11.21,23.88,69.72,53.68,0.32,24.51,6.13,112.06,18.99,68.18,93.46,9.93,24.02,2
10.5,22.67,66.03,50.42,0.54,23.01,6.64,108.43,17.34,67.03,91.09,9.64,23.63,2
10.93,25.61,72.66,55.88,0.27,25.14,6.74,114.72,20.41,70.53,96.72,9.72,24.11,2
12.21,26.84,75.05,58.25,0.58,27.16,7.45,117.66,20.88,71.97,98.32,10.88,25.14,2
11.98,26.71,74.59,56.52,0.48,26.93,8.27,118.37,20.8,71.29,97.84,10.56,25.8,2
11.94,26.23,74.48,56.99,0.23,26.68,7.36,117.75,20.57,71.54,97.84,10.82,24.79,2
12.57,27.72,77.39,59.56,0.38,28.03,7.88,120.81,21.13,72.38,98.22,11.18,24.95,2
12.51,28.08,78.96,59.46,0.21,28.43,8.69,124.54,21.7,73.06,100.55,10.85,25.77,2
12.76,26.74,74.44,56.18,0.47,27.33,8.08,119.91,20.35,69.99,98.26,10.66,24.75,2
12.04,27.82,78.55,59.35,0.55,27.91,7.88,121.12,20.98,71.35,100.1,10.7,25.29,2
12.65,28.37,79.83,61.05,0.47,29.29,8.29,123.21,21.76,72.81,102.08,10.68,26.45,2
15.49,31.89,86.43,66.34,0.47,32.42,9.55,128.6,22.6,74.55,103.93,11.13,27.26,2
11.91,26.8,75.75,58.57,0.56,27.44,7.64,118.82,21.74,72.05,99.41,9.78,24.58,2
11.99,27.56,74.57,58.46,0.45,27.76,7.6,118.62,21.29,72.05,97.47,11.07,24.99,2
12.72,27.98,76.76,60.48,0.36,28.28,7.6,121.48,22.11,72.13,98.79,10.79,25.63,2
11.74,26.49,73.38,57.15,0.23,26.75,8.16,118.33,20.76,71.55,98.16,11.26,25.33,2
12.05,26.62,75.17,56.85,0.35,26.58,8.14,120.41,20.92,71.42,98.81,10.52,25.09,2
14.08,29.36,81.49,61.26,0.63,29.56,9.13,127.54,21.99,73.83,101.27,11.37,26.66,2
12.62,27.32,76.73,57.6,0.69,27.98,8.15,124.26,21.73,71.88,98.62,11.23,25.17,2
11.21,26.86,74.02,55.99,0.33,26.44,7.84,118.0,20.06,69.38,98.35,10.24,25.82,2
12.93,29.04,80.95,61.55,0.15,29.73,8.52,123.06,21.19,72.66,102.08,11.52,25.78,2
12.8,28.66,79.14,59.34,0.51,28.83,8.57,121.52,20.58,71.67,102.68,11.12,27.17,2
10.9,25.05,73.67,56.27,0.28,26.33,6.7,118.41,19.85,71.05,96.01,9.53,24.07,2
9.57,24.06,68.7,52.28,0.45,24.23,6.75,113.36,19.87,69.91,93.72,9.42,23.78,2
11.48,26.3,73.56,56.86,0.28,26.83,7.92,119.13,20.54,71.12,96.99,10.55,24.61,2
11.88,27.02,75.75,57.96,0.21,26.91,7.81,122.01,21.02,72.27,98.35,10.49,25.54,2
12.56,27.45,78.12,60.12,0.53,28.06,7.93,123.77,20.94,72.68,100.61,10.22,25.78,2
12.56,27.16,75.44,58.29,0.35,27.33,7.52,122.38,20.18,72.47,98.97,11.08,25.93,2
13.05,28.54,78.6,60.12,0.34,29.34,8.8,125.55,21.67,72.39,99.94,11.32,26.3,2
12.0,27.58,76.68,57.53,0.36,27.63,8.15,122.3,21.05,71.07,99.17,10.71,25.66,2
12.4,27.62,78.32,59.02,0.29,28.25,7.81,122.97,20.9,71.57,101.92,10.56,25.63,2
14.16,29.49,81.32,62.15,0.65,30.59,8.81,125.26,21.41,73.22,102.6,11.42,26.25,2
11.89,26.34,74.01,57.54,0.44,25.68,7.25,119.24,20.79,72.45,96.82,9.68,24.46,2
11.88,26.92,75.55,58.86,0.36,27.47,8.22,122.78,21.17,71.98,98.25,10.33,24.22,2
11.65,25.65,73.46,56.73,0.21,26.89,7.7,119.9,20.61,72.36,98.42,10.84,25.18,2
12.59,27.6,78.74,60.47,0.38,29.13,8.48,124.63,22.29,72.87,99.55,10.85,25.99,2
11.8,26.53,75.76,58.49,0.36,27.63,7.98,122.21,21.72,72.75,99.54,11.36,26.06,2
11.81,27.56,76.75,58.14,0.5,26.84,7.4,124.84,21.0,73.42,100.73,11.18,25.99,2
12.93,27.32,76.02,57.73,0.39,27.26,8.83,125.36,21.39,72.86,100.65,10.62,25.96,2
13.2,28.51,79.6,60.34,0.44,29.12,8.97,125.37,21.54,73.04,102.47,11.51,26.96,2
12.37,27.45,76.49,57.9,0.22,27.28,7.97,121.07,21.3,72.54,100.9,10.76,25.58,2
12.4,27.12,76.58,56.86,0.44,27.08,8.16,119.47,20.42,71.15,99.98,10.91,25.22,2
11.2,25.89,72.88,56.34,0.13,25.27,6.26,118.88,20.75,72.17,96.83,9.67,24.29,2
10.94,24.65,72.25,55.42,0.31,25.54,7.18,117.39,21.01,72.81,97.77,9.9,25.38,2
11.36,26.12,74.06,57.06,0.07,26.75,7.43,120.44,21.67,72.9,99.57,10.76,25.44,2
11.26,26.49,76.2,59.57,0.35,28.26,8.04,122.26,21.94,73.95,100.13,11.14,25.71,2
12.19,26.63,75.55,57.46,0.51,27.64,7.96,122.0,20.99,72.2,99.88,11.32,25.69,2
12.12,27.67,76.94,58.44,0.44,28.34,7.43,123.36,21.3,71.83,99.66,11.53,25.3,2
12.24,25.86,72.63,55.9,0.39,26.41,7.44,118.68,20.59,71.42,98.21,11.43,26.03,2
13.23,28.83,79.54,60.48,0.47,29.71,8.44,125.62,21.97,74.6,102.82,11.59,27.51,2
12.97,28.99,79.51,59.97,0.3,29.07,7.61,122.87,21.12,73.09,100.99,11.31,25.72,2
11.83,26.36,73.47,55.34,0.28,26.37,6.97,115.04,20.64,69.02,97.04,10.83,25.07,2
10.46,25.92,73.23,56.02,0.31,25.59,7.47,119.4,20.79,73.2,97.98,10.48,25.0,2
11.17,26.28,72.46,56.41,0.38,25.84,6.66,117.04,20.59,72.32,97.67,9.9,24.72,2
12.6,27.69,76.73,59.83,0.3,28.71,7.87,122.18,21.55,74.6,100.14,11.33,26.7,2
