,PC1,PC2
365nm,-0.5124036530730557,-0.10254290005263274
405nm,-0.5297442056372569,-0.07722812980992233
473nm,-0.5333253657425006,-0.07522719315586313
530nm,-0.24885220778702555,0.11213850898188281
575nm,-0.08175071227112403,0.9792672300018832
621nm,-0.32212889794219574,0.07951280445630744
