PC1,PC2,label
-0.7144064947963653,0.05940512429869944,0
-0.8123335081403259,-0.03897716545598206,0
-0.7745132017691596,-0.0021233481144388635,0
-0.7571161870796984,-0.08222876703509972,0
-0.8979509863586653,0.05936350327638233,0
-0.9006991738881548,-0.1092658786168422,0
-0.7605297867725138,-0.044356647521323116,0
-0.8353766204576799,-0.03495417240230453,0
-0.9167577245226229,0.03817073597128241,0
-1.2234511373593677,0.2191612622436712,0
-0.84577314481868,-0.032470366264680785,0
-0.8526949540827297,-0.009154723572018082,0
-0.9016769932198365,0.05225074596084462,0
-0.7454634481744217,0.07971950071531571,0
-0.7769159759958106,0.020206082531572127,0
-1.015380512258087,-0.009836527533392819,0
-0.8643591037214557,0.34643050312381124,0
-0.7377703929730135,-0.12352114240751046,0
-1.0045530807617806,-0.11391759132654372,0
-0.8996323660354149,0.12462016977301392,0
-0.7246055928286731,0.05212534508469954,0
-0.47180551864219267,-0.04422244300989436,0
-0.7625888852713038,-0.103568448662615,0
-0.8211170389600184,0.0351322911018133,0
-0.8903888332640182,-0.05845054416585609,0
-0.7829438864691896,-0.09576107419658499,0
-0.9358817536390804,0.011160671269809528,0
-0.747536662351662,-0.07505310087185174,0
-0.8736909677834928,-0.03983435133653177,0
-1.0196769179396188,0.0573808467915141,0
-0.7212895305105576,0.008656373499749553,0
-0.8059744531323366,-0.0404758229508557,0
-0.7078834635160128,-0.007815967867720283,0
-0.8934310801941729,0.007813042617599561,0
-0.8038931269769622,0.24828777114097583,0
-0.8106535068160474,-0.14620282360761314,0
-0.8551176080521938,0.0722214403603485,0
-0.9187649609651097,-0.07359228537906908,0
-0.813528623203688,-0.11218083209331944,0
-0.7416592801959511,-0.06586457383969357,0
-0.6660300640045774,-0.008749574730030449,0
-0.6328428178514223,-0.13836721386173562,0
-0.7162286507219271,-0.0039032136539466403,0
-0.8406190108268139,0.024253861479522198,0
-0.7949968826322528,0.000532416423523691,0
-0.8222261881796653,0.06605710761320385,0
-0.6884931564842145,-0.017592391460151017,0
-0.9091198333323799,-0.05727438016294963,0
-0.8849618493439433,0.045709762342453025,0
-0.6465191907348378,-0.10851608464704926,0
-0.6367626749101643,0.1834771175166231,0
-0.6419858363698965,0.0681450777032306,0
-0.817079385177621,-0.0025819337938427327,0
-0.863048235709236,0.04502188785826533,0
-0.7352625795513811,-0.015833380489180728,0
-0.6449898319001788,-0.039365906510975796,0
-0.6753851888086294,-0.08053931152131295,0
-0.6703860202630328,-0.0292626302190348,0
-0.7249471120858948,-0.09617196280657658,0
-0.6580917058557783,0.029057793549109298,0
-0.8028251243668866,0.10237591507200254,0
-0.8209741582974934,-0.03516396812713486,0
-0.7579694825861225,-0.04865501190660954,0
-0.6570480484854694,-0.06719204273387998,0
-0.6634685999910405,-0.026101659840785746,0
-0.6065552382006006,-0.08592747047622627,0
-0.7013892647619295,0.03918285378822017,0
-0.8730952911429555,0.0022977917141585188,0
-0.8792949339379688,-0.08132908440656998,0
-0.7367941267169011,-0.004983627532767567,0
-0.6469272261646293,0.03661034862030335,0
-0.6200690752934765,-0.034367271908296776,0
-0.7649221502464255,0.009694989865252168,0
-0.6551291834473837,0.006843736472331422,0
-0.7802314260109269,0.07444338181347322,0
-0.7920341300278587,0.07631587971635394,0
